0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1
2,0,1,0,0,0,0,1
3,0,1,1,0,0,0,0
4,0,0,0,0,0,1,1
5,0,0,0,0,0,1,1
6,0,0,0,0,0,1,1
7,1,0,0,0,0,0,0
8,1,0,0,0,0,1,1
9,1,0,0,0,0,0,1
10,1,0,0,0,0,0,1
11,0,1,1,0,0,0,0
12,0,1,0,1,0,0,0
13,1,1,0,1,0,0,0
14,0,0,0,0,0,0,1
15,1,0,0,0,1,0,0
16,0,0,0,0,0,1,0
17,1,0,0,0,1,0,0
18,1,0,0,0,1,0,1
19,0,0,0,0,1,0,1
20,1,0,0,0,1,0,0
21,0,0,0,0,0,0,1
22,0,1,1,0,0,0,0
23,0,0,1,0,0,0,0
24,0,0,1,1,0,0,0
25,0,0,0,0,0,0,1
26,1,0,0,0,1,0,0
27,1,0,0,0,1,0,0
28,0,1,1,0,0,0,0
29,0,0,0,1,0,0,1
30,0,1,1,0,0,1,0
31,1,0,0,1,0,0,0
32,1,0,0,0,1,0,1
33,0,0,1,0,0,0,1
34,1,0,0,1,0,0,0
35,0,1,0,0,0,1,1
36,0,1,1,0,0,1,0
