0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1
2,0,1,0,0,0,0,1
3,0,1,1,0,0,0,0
4,0,0,0,0,0,1,1
5,0,1,0,0,0,1,0
6,0,0,0,0,0,1,1
7,1,0,0,0,0,0,0
8,1,0,0,0,0,1,1
9,1,0,0,0,0,0,1
10,1,0,0,0,0,0,1
11,0,1,1,0,0,0,0
12,0,1,0,1,0,0,0
13,1,1,0,1,0,0,0
14,0,0,0,0,0,1,0
15,1,0,0,0,1,0,0
16,1,0,0,0,1,0,0
17,1,0,0,0,1,0,0
18,1,0,0,0,1,0,1
19,1,0,0,0,1,0,1
20,0,1,1,0,0,0,0
21,0,0,0,0,0,0,1
22,0,0,1,1,0,0,0
23,0,0,1,0,0,0,0
24,1,0,0,0,1,0,0
25,0,0,0,0,0,0,1
26,0,1,1,0,0,1,0
27,0,0,0,1,0,0,1
28,1,0,0,0,1,0,1
29,0,0,1,0,0,0,1
30,1,0,0,1,0,0,0
31,0,1,0,0,0,1,1
32,0,1,1,0,0,1,0
33,0,1,1,0,0,1,1
34,0,1,1,0,0,1,0
35,1,0,0,1,0,0,0
36,1,0,0,0,1,0,0
